name,releasedate,language,price,authors,contributors,narrators,audible_length_m,audible_rating,ratings_count
Geronimo Stilton #11 & #12,2008-08-04,english,468.0,Geronimo Stilton,,Bill Lobely,140,5.0,34
The Burning Maze,2018-05-01,english,820.0,Rick Riordan,,Robbie Daymond,788,4.5,41
The Deep End,2020-11-06,english,410.0,Jeff Kinney,,Dan Russell,123,4.5,38
Daughter of the Deep,2021-10-05,english,615.0,Rick Riordan,,Soneela Nankani,676,4.5,12
"The Lightning Thief: Percy Jackson, Book 1",2010-01-13,english,820.0,Rick Riordan,,Jesse Bernstein,600,4.5,181
The Hunger Games: Special Edition,2018-10-30,english,656.0,Suzanne Collins,,Tatiana Maslany,635,5.0,72
Quest for the Diamond Sword,2014-11-25,english,233.0,Winter Morgan,,Luke Daniels,143,5.0,11
The Dark Prophecy,2017-05-02,english,820.0,Rick Riordan,,Robbie Daymond,752,5.0,50
Merlin Mission Collection,2017-05-02,english,1256.0,Mary Pope Osborne,,Mary Pope Osborne,656,5.0,5
The Tyrant’s Tomb,2019-09-24,english,820.0,Rick Riordan,,Robbie Daymond,802,5.0,58
"The Titan's Curse: Percy Jackson, Book 3",2010-01-14,english,820.0,Rick Riordan,,Jesse Bernstein,528,4.5,130
Magic Tree House Collection: Books 9-16,2011-08-24,english,1206.0,Mary Pope Osborne,,Mary Pope Osborne,323,5.0,6
Magic Tree House Collection: Books 1-8,2011-09-27,english,1206.0,Mary Pope Osborne,,Mary Pope Osborne,361,5.0,7
Magnus Chase and the Ship of the Dead,2017-10-03,english,820.0,Rick Riordan,,Michael Crouch,778,5.0,41
Northern Lights,2021-06-24,english,1093.0,Philip Pullman,,"Philip Pullman,fullcast, Ruth Wilson",715,4.0,2
Geronimo Stilton #13 and #14,2008-02-08,english,467.0,Geronimo Stilton,,Bill Lobley,145,4.5,33
Magic Tree House Collection,2004-12-26,english,1206.0,Mary Pope Osborne,,Mary Pope Osborne,304,5.0,7
Exile,2018-11-06,english,836.0,Shannon Messenger,,Caitlin Kelly,881,5.0,20
Merlin Mission Collection,2017-05-02,english,1256.0,Mary Pope Osborne,,Mary Pope Osborne,618,5.0,11
Neverseen,2018-11-06,english,1003.0,Shannon Messenger,,Caitlin Kelly,1002,5.0,13
The Tower of Nero,2020-10-06,english,615.0,Rick Riordan,,Robbie Daymond,732,5.0,79
"Eldest: The Inheritance Cycle, Book 2",2009-04-14,english,957.0,Christopher Paolini,,Gerrard Doyle,1409,4.5,47
Artemis Fowl,2013-04-11,english,683.0,Eoin Colfer,,Gerry O' Brien,406,5.0,27
Geronimo Stilton 22 & 24,2011-02-01,english,469.0,Geronimo Stilton,,Bill Lobley,157,4.5,25
Percy Jackson and the Battle of the Labyrinth,2010-01-21,english,820.0,Rick Riordan,,Jesse Bernstein,632,5.0,101
Winnie-the-Pooh,2003-12-28,english,468.0,A. A. Milne,,Peter Dennis,166,5.0,15
Magic Tree House Collection: Books 25-32,2020-09-01,english,1256.0,Mary Pope Osborne,,Mary Pope Osborne,429,5.0,3
Geronimo Stilton #20 and #21,2010-10-01,english,469.0,Geronimo Stilton,,Bill Lobley,152,5.0,18
The Red Pyramid,2013-01-24,english,820.0,Rick Riordan,,"Jane Collingwood, Joseph May",824,4.5,37
Mystery of the Griefer's Mark,2014-11-25,english,233.0,Winter Morgan,,Luke Daniels,113,5.0,9
Geronimo Stilton #17,2009-07-13,english,468.0,Geronimo Stilton,,Bill Lobley,148,5.0,8
The House at Pooh Corner,2005-04-05,english,374.0,A. A. Milne,,Peter Dennis,192,5.0,5
Mission Unstoppable,2013-08-01,english,702.0,Dan Gutman,,Michael Goldstrom,368,5.0,8
Darkness of Dragons,2017-08-01,english,656.0,Tui T. Sutherland,,Shannon Mc Manus,626,5.0,8
"14 Short Stories Bundle for Kids: Adventure, Science Fiction, Aesop’s Fables, Classic Fairy Tales and Christmas Story Books for Children",2019-01-22,english,501.0,Nayomi Phillips,,"Monica Rachelle, Jim D. Johnston, Katie Otten",193,0.0,0
The Adventures of Rusty,2018-11-01,hindi,284.0,Ruskin Bond,,Neha Gargava,341,4.5,10
Geronimo Stilton #15 and #16,2008-02-08,english,467.0,Geronimo Stilton,,Bill Lobley,163,4.0,28
The Lost Heir,2016-02-04,english,575.0,Tui T. Sutherland,,Shannon Mc Manus,443,5.0,9
Everblaze,2018-11-06,english,836.0,Shannon Messenger,,Caitlin Kelly,879,5.0,18
Treasure Hunters in Trouble,2015-03-31,english,668.0,Winter Morgan,,Luke Daniels,118,5.0,7
Lodestar,2018-11-06,english,1003.0,Shannon Messenger,,Caitlin Kelly,991,5.0,19
Curse of the Arctic Star,2014-12-28,english,305.0,Carolyn Keene,,Jorjeana Marie,215,4.5,25
The Ghost of Grey Fox Inn,2017-03-20,english,305.0,Carolyn Keene,,Jorjeana Marie,199,5.0,11
Rowley Jefferson's Awesome Friendly Adventure,2020-08-04,english,410.0,Jeff Kinney,,Christopher Gebauer,91,4.0,16
Flashback,2018-12-11,english,1170.0,Shannon Messenger,,Caitlin Kelly,1389,5.0,12
Secret of the Red Arrow,2015-11-04,english,305.0,Franklin W. Dixon,,Tim Gregory,213,4.5,16
"The Lightning Thief: Percy Jackson, Book 1",2010-01-13,english,615.0,Rick Riordan,,Walter Lewis,231,4.0,4
Clash of the Creepers,2015-07-07,english,233.0,Winter Morgan,,Luke Daniels,121,5.0,10
The Skeletons Strike Back,2015-07-07,english,233.0,Winter Morgan,,Luke Daniels,121,5.0,7
Dragonslayer,2020-03-03,english,656.0,Tui T. Sutherland,,Shannon Mc Manus,764,5.0,17
A Bear Called Paddington,2008-06-24,english,266.0,Michael Bond,,Stephen Fry,159,0.0,0
Gregor and the Curse of the Warmbloods,2004-12-26,english,1005.0,Suzanne Collins,,Paul Boehmer,467,0.0,0
The Dark Secret,2016-07-01,english,575.0,Tui T. Sutherland,,Shannon Mc Manus,455,5.0,9
The Gruffalo's Child,2010-08-19,english,323.0,"Julia Donaldson, Axel Scheffler",,Imelda Staunton,22,4.5,4
Merlin Mission Collection,2017-05-02,english,1256.0,Mary Pope Osborne,,Mary Pope Osborne,804,5.0,8
Keys to the Demon Prison,2013-08-01,english,516.0,Brandon Mull,,E. B. Stevens,1057,5.0,1
Legacy,2019-11-05,english,1170.0,Shannon Messenger,,Caitlin Kelly,1375,5.0,14
The Endermen Invasion,2015-05-26,english,233.0,Winter Morgan,,Luke Daniels,122,5.0,5
Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,2021-11-02,english,445.0,Dav Pilkey,,"Len Forgione, Ashton Sundholm, Jaden Rogers",130,5.0,1
You Only Die Twice,2013-09-17,english,585.0,Dan Gutman,,Michael Goldstrom,349,5.0,5
From Texas with Love,2014-01-28,english,702.0,Dan Gutman,,Michael Goldstrom,327,5.0,6
Across the Desert,2022-03-29,english,703.0,Dusti Bowling,,Stacy Gonzalez,373,0.0,0
Unicorn Academy: Aisha and Silver,2022-03-10,english,266.0,Julie Sykes,,Kristin Atherton,94,0.0,0
Laura Blackman and The Five Cunning Aardvarks,2021-12-15,english,117.0,Stella Robson,,Derek Steel,13,0.0,0
The Dragonet Prophecy,2012-07-01,english,820.0,Tui T. Sutherland,,Shannon Mc Manus,512,5.0,11
Dangerous Gift,2021-03-02,english,445.0,Tui T. Sutherland,,Shannon Mc Manus,471,5.0,9
"The 39 Clues, Book 6",2009-11-06,english,468.0,Jude Watson,,David Pittu,310,5.0,4
Never Say Genius,2013-08-23,english,585.0,Dan Gutman,,Michael Goldstrom,327,5.0,8
The Madman of Black Bear Mountain,2016-06-07,english,305.0,Franklin W. Dixon,,Tim Gregory,174,5.0,3
Unicorn Academy: Zara and Moonbeam,2022-03-10,english,266.0,Julie Sykes,,Kristin Atherton,95,0.0,0
El fantasma de la bodega,2022-04-04,spanish,192.0,Francisco Díaz Valladares,,Nuria Samsó,143,0.0,0
El paseo encantado,2022-04-01,spanish,76.0,Mattel,,Vanessa Pérez Jurado,33,0.0,0
Wigetta,2022-04-05,spanish,192.0,"Vegetta777, Willyrex",,Álexde Porrata,217,0.0,0
Aru Shah and the Nectar of Immortality,2022-04-05,english,821.0,Roshani Chokshi,,Soneela Nankani,679,0.0,0
Barnabas der Wolkenschaufler,2022-04-04,german,200.0,Sophie Schoenwald,NadineReitz-Illustrator,Bernd Reheuser,176,0.0,0
The Boy in the Post,2022-04-01,english,706.0,Holly Rivers,,Susie Trayling,418,0.0,0
Thornwood,2022-04-05,english,904.0,Leah Cypess,,Jessica Almasy,341,0.0,0
7 histoires d'aventures !,2022-02-11,french,679.0,"Bertrand Fichou, Nora Thullin, Catherinede Lasa",,"Guy Chappelier, Frédéric Sanchez, Marie Zidi,",43,0.0,0
Le Loup qui devenait chef de la forêt,2022-04-01,french,112.0,Orianne Lallemand,,Will Production,9,0.0,0
Curse of the Robo-Dragon,2022-04-01,english,531.0,Adam Blade,,Theo Solomon,126,0.0,0
Call of the Crow,2022-04-05,english,586.0,Jessica Khoury,,"Michael Gallagher, Emily Eiden",570,0.0,0
Glass Slippers,2022-04-05,english,904.0,Leah Cypess,,Keylor Leigh,338,0.0,0
Captain Underpants and the Sensational Saga of Sir Stinks-a-Lot,2022-04-05,english,586.0,Dav Pilkey,,"Len Forgione, Winston Bromhead, I'ke Mitchell",97,0.0,0
Tiger Honor,2022-01-04,english,586.0,Yoon Ha Lee,,Elissa Park,456,5.0,1
The Amulet of Samarkand,2007-02-01,english,683.0,Jonathan Stroud,,Steven Pacey,570,5.0,17
Rowley Jefferson's Awesome Friendly Spooky Stories,2021-03-16,english,410.0,Jeff Kinney,,Christopher Gebauer,89,3.5,7
Lost in the End,2016-04-06,english,233.0,Winter Morgan,,Summer Mc Cusker,103,5.0,5
Trouble Island,2021-06-01,english,305.0,Franklin W. Dixon,,Tim Gregory,264,5.0,2
Terrors of the Forest,2022-01-25,english,703.0,Mark Cheverton,,Nick Walther,492,0.0,0
Riverboat Roulette,2017-03-20,english,305.0,Carolyn Keene,,Jorjeana Marie,166,5.0,4
The Book of Chaos,2022-03-15,english,1172.0,Jessica Renwick,,Reba Buhr,330,0.0,0
"Fortunately, the Milk...",2021-11-22,english,683.0,Neil Gaiman,,Neil Gaiman,58,0.0,0
Discoveries in the Overworld,2016-04-06,english,233.0,Winter Morgan,,Summer Mc Cusker,109,5.0,4
The Last Human,2019-10-03,english,949.0,Lee Bacon,,Paul Panting,402,5.0,7
Welcome to Smellville,2020-09-29,english,585.0,R. L. Stine,,"Jordan Fisher, Dascha Polanco, Joniece Abbott- Pratt,",198,0.0,0
An Explorer's Guide to the Nether,2016-03-30,english,233.0,Winter Morgan,,Summer Mc Cusker,110,5.0,4
The Midnight Gang,2016-11-15,english,322.0,David Walliams,,"David Walliams, Peter Serafinowicz, Morwenna Banks,",369,4.5,3
As the Falcon Flies,2022-01-04,english,305.0,Franklin W. Dixon,,Adam Verner,188,0.0,0
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,2018-10-30,english,585.0,Devin Hunter,,Ramon De Ocampo,131,5.0,2
Pahua and the Soul Stealer,2021-09-07,english,702.0,Lori M. Lee,,Samantha Tan,672,0.0,0
El monstruo marino secreto,2022-04-01,spanish,76.0,Mattel,,Vanessa Pérez Jurado,30,0.0,0
Sabotage on the Solar Express,2022-02-17,english,323.0,"M. G. Leonard, Sam Sedgman",,"Elisa Paganelli, Jot Davies",335,0.0,0
A Boy Called Christmas,2016-11-03,english,569.0,Matt Haig,,Stephen Fry,272,4.5,21
"The 39 Clues, Book 4",2009-06-23,english,468.0,Jude Watson,,David Pittu,277,5.0,6
"The 39 Clues, Book 3",2009-03-03,english,468.0,Peter Lerangis,,David Pittu,231,5.0,9
The Disappearance,2019-05-14,english,305.0,Franklin W. Dixon,,Tim Gregory,230,4.0,1
Once Upon a Crime,2021-08-05,english,615.0,Robin Stevens,,"Katie Leung, Rebecca Lee, Alexander Capon,",410,0.0,0
Billionaire Boy,2011-06-09,english,266.0,David Walliams,,"David Walliams, Nitin Ganatra",188,5.0,1
The Blue Lady of Coffin Hall,2022-01-04,english,305.0,Carolyn Keene,,Jorjeana Marie,232,5.0,2
Danger at Dead Man's Pass,2021-09-16,english,323.0,"M. G. Leonard, Sam Sedgman",ElisaPaganelli-illustrator,Jot Davies,408,0.0,0
Unlocked,2021-06-04,english,836.0,Shannon Messenger,,Caitlin Kelly,962,3.0,5
The Danger Gang,2020-10-01,english,615.0,Tom Fletcher,,"Tom Felton, Tom Fletcher",252,0.0,0
Mountain Mare,2022-01-25,english,398.0,Terri Farley,,Natalie Budig,235,0.0,0
The Princess in Black and the Mermaid Princess,2022-02-01,english,352.0,"Shannon Hale, Dean Hale",,Julia Whelan,20,0.0,0
The Vanishing Statue,2020-06-16,english,305.0,Carolyn Keene,,Jorjeana Marie,245,5.0,6
Eye of the Earthquake Dragon,2020-08-04,english,164.0,Tracey West,,Emily Ellet,45,5.0,1
Peril at Granite Peak,2016-01-21,english,305.0,Franklin W. Dixon,,Tim Gregory,210,5.0,3
Barbie - Aventura espacial,2022-02-02,catalan,76.0,Mattel,MartaCisaMuñoz-traductor,Miriam Monlleo,12,0.0,0
The Disappearance of Emily Downs,2021-09-30,english,1003.0,C. J. Redwine,,Mia Sinclair Jenness,296,5.0,1
The Solution,2021-11-02,english,656.0,Katherine Applegate,,Emily Ellet,174,0.0,0
The Great Greenfield Bake-Off,2021-09-01,english,234.0,Gertrude Chandler Warner,,Aimee Lilly,101,0.0,0
Into Thin Air,2016-01-21,english,305.0,Franklin W. Dixon,,Tim Gregory,159,5.0,10
Once upon a Thriller,2015-09-24,english,305.0,Carolyn Keene,,Jorjeana Marie,141,5.0,12
The Magician's Nephew,2005-08-29,english,303.0,C. S. Lewis,,Kenneth Branagh,235,5.0,7
Leonora Bolt: Secret Inventor,2022-01-20,english,410.0,Lucy Brandt,,Nicole Davis,175,0.0,0
The Snail and the Whale,2008-10-07,english,323.0,Julia Donaldson,,Imelda Staunton,23,5.0,5
Tigers for Dinner,2017-01-01,english,284.0,Ruskin Bond,,Adnan Kapadia,39,4.5,20
The Hidden Kingdom,2016-07-01,english,575.0,Tui T. Sutherland,,Shannon Mc Manus,454,5.0,9
Eagle Strike,2021-05-20,english,569.0,Anthony Horowitz,,Oliver Chris,417,5.0,2
